mciId,classification,repairRounds,goalAchieved,mutationRegressed,aiAuditRisk,diffFile,totalSeconds,generationSeconds,totalTokens,cacheHit
org.springframework.integration.ip.tcp.connection.TcpNioConnectionSupport::1,FAILED_SYNTACTIC_VALIDITY,0,,,,,,,712,False
WebServiceMessageFactory::1,FAILED_SYNTACTIC_VALIDITY,0,,,,,,,986,False
Session<FTPFile>::1,FAILED_SYNTACTIC_VALIDITY,0,,,,,,,2356,False
Session<FTPFile>::2,FAILED_SYNTACTIC_VALIDITY,0,,,,,,,687,False
org.springframework.integration.file.remote.session.SessionFactory::1,MODEL_DECLINED,0,,,,,,,3587,False
org.springframework.integration.file.remote.session.SessionFactory::2,MODEL_DECLINED,0,,,,,,,2484,False
org.springframework.integration.file.remote.session.SessionFactory::3,MODEL_DECLINED,0,,,,,,,2344,False
org.springframework.integration.file.remote.session.SessionFactory::4,FAILED_SYNTACTIC_VALIDITY,0,,,,,,,530,False
Store::1,FAILED_SYNTACTIC_VALIDITY,0,,,,,,,2476,False
Store::2,FAILED_SYNTACTIC_VALIDITY,0,,,,,,,2483,False
org.springframework.integration.file.remote.RemoteFileTemplate<java.lang.String>::1,FAILED_SYNTACTIC_VALIDITY,0,,,,,,,2861,False
WebSocketSession::1,FAILED_SYNTACTIC_VALIDITY,0,,,,,,,2150,False
java.util.Comparator<java.lang.String>::1,FAILED_SYNTACTIC_VALIDITY,0,,,,,,,867,False
java.net.InetAddress::1,FAILED_SYNTACTIC_VALIDITY,0,,,,,,,733,False
org.springframework.integration.ip.tcp.connection.TcpSocketFactorySupport::1,FAILED_SYNTACTIC_VALIDITY,0,,,,,,,670,False
org.springframework.integration.ip.tcp.connection.TcpSocketFactorySupport::2,SUCCESS,0,True,False,LOW,diffs/org.springframework.integration.ip.tcp.connection.TcpSocketFactorySupport__2.diff,39.69,20.14,14435,False
org.springframework.integration.file.remote.session.Session<?>::1,FAILED_SYNTACTIC_VALIDITY,0,,,,,,,2804,False
java.nio.channels.SocketChannel::1,FAILED_SYNTACTIC_VALIDITY,0,,,,,,,2428,False
java.nio.channels.SocketChannel::2,FAILED_SYNTACTIC_VALIDITY,0,,,,,,,3023,False
org.springframework.integration.support.locks.LockRegistry::1,FAILED_SYNTACTIC_VALIDITY,0,,,,,,,2628,False
Consumer::1,FAILED_SYNTACTIC_VALIDITY,0,,,,,,,4150,False
Consumer::2,MODEL_DECLINED,0,,,,,,,3830,False
Consumer::3,FAILED_SYNTACTIC_VALIDITY,0,,,,,,,4137,False
Consumer::4,FAILED_SYNTACTIC_VALIDITY,0,,,,,,,3602,False
MimeMessage::1,FAILED_SYNTACTIC_VALIDITY,0,,,,,,,2404,False
org.springframework.integration.file.remote.session.Session::1,MODEL_DECLINED,0,,,,,,,2524,False
ApplicationEventPublisher::1,SUCCESS,0,True,False,LOW,diffs/ApplicationEventPublisher__1.diff,36.0,19.05,17527,False
ClientInterceptor::1,FAILED_SYNTACTIC_VALIDITY,0,,,,,,,941,False
Unmarshaller::1,FAILED_SYNTACTIC_VALIDITY,0,,,,,,,659,False
IMqttAsyncClient::1,FAILED_SYNTACTIC_VALIDITY,0,True,False,SKIPPED,diffs/IMqttAsyncClient__1.diff,28.18,20.53,6550,False
