# mciId	classification	module — exported by B for C-006. B's own run output; row ownership may differ.
ActionListType::1	SUCCESS	plugins/network-elements/tungsten
AddressType::1	SUCCESS	plugins/network-elements/tungsten
CloseableHttpClient::3	FAILED_BEHAVIORAL_EQUIVALENCE	utils
DiskProfile::1	SUCCESS	server
DomainBlockJobInfo::1	SUCCESS	plugins/hypervisors/kvm
HttpClient::1	SUCCESS	plugins/network-elements/stratosphere-ssp
HttpEntity::1	SUCCESS	plugins/user-authenticators/oauth2
HttpEntity::3	SUCCESS	plugins/network-elements/tungsten
HttpEntity::4	SUCCESS	plugins/integrations/cloudian
HttpResponse::1	SUCCESS	plugins/integrations/cloudian
HttpServletRequest::1	SUCCESS	plugins/integrations/veeam-control-service
HttpServletRequest::2	SUCCESS	plugins/integrations/veeam-control-service
HttpServletResponse::1	SUCCESS	plugins/integrations/veeam-control-service
HttpSession::1	SUCCESS	server
InstanceIp::1	SUCCESS	plugins/network-elements/tungsten
JsonNode::1	SUCCESS	server
LibvirtException::1	SUCCESS	plugins/hypervisors/kvm
LibvirtException::2	SUCCESS	plugins/hypervisors/kvm
LogicalRouter::1	SUCCESS	plugins/network-elements/tungsten
LogicalRouter::2	SUCCESS	plugins/network-elements/tungsten
MimeMessage::1	SUCCESS	utils
Output::1	SUCCESS	plugins/network-elements/brocade-vcs
PBD::1	SUCCESS	plugins/hypervisors/xenserver
PolicyEntriesType::1	SUCCESS	plugins/network-elements/tungsten
PortType::1	SUCCESS	plugins/network-elements/tungsten
PrepareExtensionPathCommand::1	SUCCESS	framework/extensions
Rados::1	SUCCESS	plugins/hypervisors/kvm
ServiceGroup::1	SUCCESS	plugins/network-elements/tungsten
ServiceGroup::2	SUCCESS	plugins/network-elements/tungsten
StoragePool::1	SUCCESS	plugins/hypervisors/kvm
Structure::1	ENVIRONMENT_NOT_READY	unknown
VcsNodeInfo::1	SUCCESS	plugins/network-elements/brocade-vcs
VcsNodes::1	SUCCESS	plugins/network-elements/brocade-vcs
VirtualMachineConfigSummary::1	ENVIRONMENT_NOT_READY	unknown
VirtualNetwork::1	SUCCESS	plugins/network-elements/tungsten
VirtualNetwork::2	SUCCESS	plugins/network-elements/tungsten
VirtualNetwork::3	SUCCESS	plugins/network-elements/tungsten
com.cloud.agent.api.Answer::1	SUCCESS	server
com.cloud.agent.api.Answer::2	ENVIRONMENT_NOT_READY	unknown
com.cloud.agent.api.Answer::3	SUCCESS	plugins/network-elements/tungsten
com.cloud.agent.api.Answer::4	SUCCESS	plugins/storage/volume/ontap
com.cloud.agent.api.Answer::5	SUCCESS	server
com.cloud.agent.api.ConfigureStaticNatRulesOnLogicalRouterCommand::1	SUCCESS	plugins/network-elements/nicira-nvp
com.cloud.agent.api.CreateLogicalSwitchAnswer::1	SUCCESS	plugins/network-elements/nicira-nvp
com.cloud.agent.api.CreateNetworkAnswer::1	SUCCESS	plugins/network-elements/brocade-vcs
com.cloud.agent.api.DisassociateMacFromNetworkAnswer::1	SUCCESS	plugins/network-elements/brocade-vcs
com.cloud.agent.api.FreezeThawVMAnswer::1	SUCCESS	plugins/storage/volume/ontap
com.cloud.agent.api.MigrateWithStorageAnswer::1	ENVIRONMENT_NOT_READY	unknown
com.cloud.agent.api.RevertToVMSnapshotAnswer::1	SUCCESS	engine/storage/snapshot
com.cloud.agent.api.StartCommand::1	ENVIRONMENT_NOT_READY	unknown
com.cloud.agent.api.StartCommand::2	SUCCESS	engine/orchestration
com.cloud.agent.api.UnprepareStorageClientCommand::1	SUCCESS	plugins/hypervisors/kvm
com.cloud.agent.api.VMSnapshotTO::1	SUCCESS	plugins/hypervisors/xenserver
com.cloud.agent.api.VMSnapshotTO::2	SUCCESS	engine/storage/snapshot
com.cloud.agent.api.VMSnapshotTO::3	SUCCESS	engine/storage/snapshot
com.cloud.agent.api.VMSnapshotTO::4	SUCCESS	plugins/hypervisors/kvm
com.cloud.agent.api.VMSnapshotTO::5	SUCCESS	plugins/hypervisors/kvm
com.cloud.agent.api.storage.RevertDiskOnlyVmSnapshotCommand::1	SUCCESS	plugins/hypervisors/kvm
com.cloud.agent.api.to.BucketTO::1	SUCCESS	plugins/storage/object/cloudian
