mciId,file,method,beforeCCTR,afterCCTR,delta,pctReduction
org.apache.dubbo.rpc.cluster.Directory<?>::1,dubbo-plugin/dubbo-qos/src/test/java/org/apache/dubbo/qos/command/util/ServiceCheckUtilsTest.java,testGetConsumerAddressNum,69,45,-24,34.8
java.net.InetAddress::1,dubbo-plugin/dubbo-qos/src/test/java/org/apache/dubbo/qos/server/handler/ForeignHostPermitHandlerTest.java,shouldShowIpNotPermittedMsg_GivenAcceptForeignIpFalseAndNotMatchWhiteList,19,14,-5,26.3
java.net.InetAddress::1,dubbo-plugin/dubbo-qos/src/test/java/org/apache/dubbo/qos/server/handler/ForeignHostPermitHandlerTest.java,shouldNotShowIpNotPermittedMsg_GivenAcceptForeignIpFalseAndMatchWhiteList,13,8,-5,38.5
java.net.InetAddress::1,dubbo-plugin/dubbo-qos/src/test/java/org/apache/dubbo/qos/server/handler/ForeignHostPermitHandlerTest.java,shouldNotShowIpNotPermittedMsg_GivenAcceptForeignIpFalseAndMatchWhiteListRange,13,8,-5,38.5
org.apache.dubbo.common.URL::1,dubbo-registry/dubbo-registry-api/src/test/java/org/apache/dubbo/registry/client/migration/MigrationInvokerTest.java,test,133,120,-13,9.8
org.apache.dubbo.common.URL::1,dubbo-registry/dubbo-registry-api/src/test/java/org/apache/dubbo/registry/client/migration/MigrationInvokerTest.java,testDecide,63,50,-13,20.6
org.apache.dubbo.common.URL::2,dubbo-registry/dubbo-registry-api/src/test/java/org/apache/dubbo/registry/client/migration/MigrationRuleListenerTest.java,test,14,9,-5,35.7
org.apache.dubbo.common.URL::2,dubbo-registry/dubbo-registry-api/src/test/java/org/apache/dubbo/registry/client/migration/MigrationRuleListenerTest.java,testWithInitAndNoLocalRule,12,7,-5,41.7
org.apache.dubbo.common.URL::2,dubbo-registry/dubbo-registry-api/src/test/java/org/apache/dubbo/registry/client/migration/MigrationRuleListenerTest.java,testWithConfigurationListenerAndLocalRule,41,31,-10,24.4
Replier::1,dubbo-remoting/dubbo-remoting-api/src/test/java/org/apache/dubbo/remoting/exchange/ExchangersTest.java,testBind,6,2,-4,66.7
Replier::1,dubbo-remoting/dubbo-remoting-api/src/test/java/org/apache/dubbo/remoting/exchange/ExchangersTest.java,testConnect,8,2,-6,75.0
Replier::2,dubbo-remoting/dubbo-remoting-api/src/test/java/org/apache/dubbo/remoting/exchange/ExchangersTest.java,testBind,6,2,-4,66.7
Replier::2,dubbo-remoting/dubbo-remoting-api/src/test/java/org/apache/dubbo/remoting/exchange/ExchangersTest.java,testConnect,8,2,-6,75.0
org.apache.dubbo.rpc.cluster.router.mesh.route.MeshEnvListenerFactory::1,dubbo-cluster/src/test/java/org/apache/dubbo/rpc/cluster/router/mesh/route/MeshRuleManagerTest.java,testRegister3,31,25,-6,19.4
org.apache.dubbo.registry.client.ServiceDiscovery::1,dubbo-registry/dubbo-registry-api/src/test/java/org/apache/dubbo/registry/client/event/listener/ServiceInstancesChangedListenerTest.java,testRevisionFailureOnNotification,8,5,-3,37.5
org.apache.dubbo.registry.client.ServiceDiscovery::1,dubbo-registry/dubbo-registry-api/src/test/java/org/apache/dubbo/registry/client/event/listener/ServiceInstancesChangedListenerWithoutEmptyProtectTest.java,testRevisionFailureOnNotification,8,5,-3,37.5
org.apache.dubbo.common.stream.StreamObserver<java.lang.String>::1,dubbo-plugin/dubbo-mutiny/src/test/java/org/apache/dubbo/mutiny/MutinyServerCallsTest.java,testOneToOne_success,7,6,-1,14.3
org.apache.dubbo.common.stream.StreamObserver<java.lang.String>::1,dubbo-plugin/dubbo-mutiny/src/test/java/org/apache/dubbo/mutiny/MutinyServerCallsTest.java,testOneToOne_exception,7,6,-1,14.3
ChannelFuture::1,dubbo-plugin/dubbo-qos/src/test/java/org/apache/dubbo/qos/server/handler/ForeignHostPermitHandlerTest.java,shouldShowIpNotPermittedMsg_GivenAcceptForeignIpFalseAndEmptyWhiteList,17,14,-3,17.6
ChannelFuture::1,dubbo-plugin/dubbo-qos/src/test/java/org/apache/dubbo/qos/server/handler/ForeignHostPermitHandlerTest.java,shouldShowIpNotPermittedMsg_GivenAcceptForeignIpFalseAndNotMatchWhiteList,19,16,-3,15.8
ChannelFuture::1,dubbo-plugin/dubbo-qos/src/test/java/org/apache/dubbo/qos/server/handler/ForeignHostPermitHandlerTest.java,shouldNotShowIpNotPermittedMsg_GivenAcceptForeignIpFalseAndNotMatchWhiteListAndPermissionConfig,9,6,-3,33.3
ChannelFuture::2,dubbo-plugin/dubbo-qos/src/test/java/org/apache/dubbo/qos/server/handler/HttpProcessHandlerTest.java,test1,12,9,-3,25.0
ChannelFuture::2,dubbo-plugin/dubbo-qos/src/test/java/org/apache/dubbo/qos/server/handler/HttpProcessHandlerTest.java,test2,14,11,-3,21.4
ChannelFuture::2,dubbo-plugin/dubbo-qos/src/test/java/org/apache/dubbo/qos/server/handler/HttpProcessHandlerTest.java,test3,14,11,-3,21.4
Channel::1,dubbo-remoting/dubbo-remoting-netty4/src/test/java/org/apache/dubbo/remoting/transport/netty4/NettyChannelTest.java,testSend,38,34,-4,10.5
Channel::1,dubbo-remoting/dubbo-remoting-netty4/src/test/java/org/apache/dubbo/remoting/transport/netty4/NettyClientHandlerTest.java,test,32,28,-4,12.5
Channel::2,dubbo-plugin/dubbo-qos/src/test/java/org/apache/dubbo/qos/server/handler/ForeignHostPermitHandlerTest.java,shouldShowIpNotPermittedMsg_GivenAcceptForeignIpFalseAndEmptyWhiteList,17,15,-2,11.8
Channel::2,dubbo-plugin/dubbo-qos/src/test/java/org/apache/dubbo/qos/server/handler/ForeignHostPermitHandlerTest.java,shouldShowIpNotPermittedMsg_GivenAcceptForeignIpFalseAndNotMatchWhiteList,19,17,-2,10.5
Channel::2,dubbo-plugin/dubbo-qos/src/test/java/org/apache/dubbo/qos/server/handler/ForeignHostPermitHandlerTest.java,shouldNotShowIpNotPermittedMsg_GivenAcceptForeignIpFalseAndMatchWhiteList,13,11,-2,15.4
Channel::2,dubbo-plugin/dubbo-qos/src/test/java/org/apache/dubbo/qos/server/handler/ForeignHostPermitHandlerTest.java,shouldNotShowIpNotPermittedMsg_GivenAcceptForeignIpFalseAndMatchWhiteListRange,13,11,-2,15.4
Channel::3,dubbo-remoting/dubbo-remoting-api/src/test/java/org/apache/dubbo/remoting/codec/ExchangeCodecTest.java,test_Decode_Error_Length,4,2,-2,50.0
Channel::3,dubbo-remoting/dubbo-remoting-api/src/test/java/org/apache/dubbo/remoting/codec/ExchangeCodecTest.java,test_Decode_Return_Response_Person,4,2,-2,50.0
Channel::3,dubbo-remoting/dubbo-remoting-api/src/test/java/org/apache/dubbo/remoting/codec/ExchangeCodecTest.java,test_Header_Response_NoSerializationFlag,4,2,-2,50.0
Channel::3,dubbo-remoting/dubbo-remoting-api/src/test/java/org/apache/dubbo/remoting/codec/ExchangeCodecTest.java,test_Header_Response_Heartbeat,4,2,-2,50.0
Channel::3,dubbo-remoting/dubbo-remoting-api/src/test/java/org/apache/dubbo/remoting/codec/ExchangeCodecTest.java,test_Encode_Response,6,4,-2,33.3
java.net.NetworkInterface::1,dubbo-common/src/test/java/org/apache/dubbo/common/utils/NetUtilsInterfaceDisplayNameHasMetaCharactersTest.java,testIgnoreGivenInterfaceNameWithMetaCharacters,30,22,-8,26.7
org.apache.dubbo.metadata.MetadataService::1,dubbo-registry/dubbo-registry-api/src/test/java/org/apache/dubbo/registry/client/event/listener/ServiceInstancesChangedListenerTest.java,testInstanceWithoutRevision,4,2,-2,50.0
org.apache.dubbo.metadata.MetadataService::1,dubbo-registry/dubbo-registry-api/src/test/java/org/apache/dubbo/registry/client/event/listener/ServiceInstancesChangedListenerWithoutEmptyProtectTest.java,testInstanceWithoutRevision,4,2,-2,50.0
org.apache.dubbo.remoting.Channel::1,dubbo-remoting/dubbo-remoting-api/src/test/java/org/apache/dubbo/remoting/transport/AbstractCodecTest.java,testCheckPayloadDefault8M,6,5,-1,16.7
org.apache.dubbo.remoting.Channel::1,dubbo-remoting/dubbo-remoting-api/src/test/java/org/apache/dubbo/remoting/transport/AbstractCodecTest.java,testCheckProviderPayload,9,8,-1,11.1
org.apache.dubbo.remoting.Channel::1,dubbo-remoting/dubbo-remoting-api/src/test/java/org/apache/dubbo/remoting/transport/AbstractCodecTest.java,tesCheckPayloadMinusPayloadNoLimit,3,2,-1,33.3
org.apache.dubbo.remoting.Channel::1,dubbo-remoting/dubbo-remoting-api/src/test/java/org/apache/dubbo/remoting/transport/AbstractCodecTest.java,testIsClientSide,5,4,-1,20.0
org.apache.dubbo.remoting.Channel::2,dubbo-remoting/dubbo-remoting-api/src/test/java/org/apache/dubbo/remoting/telnet/support/HelpTelnetHandlerTest.java,test,5,2,-3,60.0
org.apache.dubbo.remoting.Channel::2,dubbo-remoting/dubbo-remoting-api/src/test/java/org/apache/dubbo/remoting/telnet/support/StatusTelnetHandlerTest.java,test,10,5,-5,50.0
org.apache.dubbo.remoting.Channel::2,dubbo-remoting/dubbo-remoting-api/src/test/java/org/apache/dubbo/remoting/telnet/support/TelnetHandlerAdapterTest.java,testTelnet,9,6,-3,33.3
org.apache.dubbo.remoting.Channel::3,dubbo-remoting/dubbo-remoting-api/src/test/java/org/apache/dubbo/remoting/exchange/support/header/HeaderExchangeServerTest.java,test,47,43,-4,8.5
org.apache.dubbo.rpc.model.ServiceDescriptor::1,dubbo-rpc/dubbo-rpc-api/src/test/java/org/apache/dubbo/rpc/stub/StubSuppliersTest.java,addDescriptor,3,2,-1,33.3
org.apache.dubbo.rpc.model.ServiceDescriptor::1,dubbo-rpc/dubbo-rpc-api/src/test/java/org/apache/dubbo/rpc/stub/StubSuppliersTest.java,addSupplier,4,3,-1,25.0
java.util.List::1,dubbo-plugin/dubbo-qos/src/test/java/org/apache/dubbo/qos/command/util/ServiceCheckUtilsTest.java,testGetConsumerAddressNum,69,57,-12,17.4
org.apache.dubbo.rpc.cluster.ClusterInvoker::1,dubbo-registry/dubbo-registry-api/src/test/java/org/apache/dubbo/registry/client/migration/MigrationInvokerTest.java,test,133,117,-16,12.0
org.apache.dubbo.rpc.cluster.ClusterInvoker::1,dubbo-registry/dubbo-registry-api/src/test/java/org/apache/dubbo/registry/client/migration/MigrationInvokerTest.java,testDecide,63,47,-16,25.4
org.apache.dubbo.rpc.cluster.ClusterInvoker::2,dubbo-registry/dubbo-registry-api/src/test/java/org/apache/dubbo/registry/client/migration/DefaultMigrationAddressComparatorTest.java,test,77,69,-8,10.4
org.apache.dubbo.rpc.cluster.ClusterInvoker::3,dubbo-plugin/dubbo-qos/src/test/java/org/apache/dubbo/qos/command/util/ServiceCheckUtilsTest.java,testGetConsumerAddressNum,69,61,-8,11.6
org.apache.dubbo.common.config.CompositeConfiguration::1,dubbo-registry/dubbo-registry-api/src/test/java/org/apache/dubbo/registry/integration/RegistryProtocolTest.java,testConsumerUrlWithoutProtocol,23,21,-2,8.7
org.apache.dubbo.common.config.CompositeConfiguration::1,dubbo-registry/dubbo-registry-api/src/test/java/org/apache/dubbo/registry/integration/RegistryProtocolTest.java,testConsumerUrlWithProtocol,23,21,-2,8.7
org.apache.dubbo.common.config.CompositeConfiguration::1,dubbo-registry/dubbo-registry-api/src/test/java/org/apache/dubbo/registry/integration/RegistryProtocolTest.java,testReferWithoutGroup,24,22,-2,8.3
org.apache.dubbo.common.config.CompositeConfiguration::1,dubbo-registry/dubbo-registry-api/src/test/java/org/apache/dubbo/registry/integration/RegistryProtocolTest.java,testReferWithGroup,22,20,-2,9.1
org.apache.dubbo.common.config.CompositeConfiguration::1,dubbo-registry/dubbo-registry-api/src/test/java/org/apache/dubbo/registry/integration/RegistryProtocolTest.java,testInterceptInvokerForMigrationRuleListener,15,13,-2,13.3
org.apache.dubbo.common.config.CompositeConfiguration::1,dubbo-registry/dubbo-registry-api/src/test/java/org/apache/dubbo/registry/integration/RegistryProtocolTest.java,testInterceptInvokerForCustomRegistryProtocolListener,13,11,-2,15.4
org.apache.dubbo.common.config.CompositeConfiguration::1,dubbo-registry/dubbo-registry-api/src/test/java/org/apache/dubbo/registry/integration/RegistryProtocolTest.java,testRegisterConsumerUrl,20,18,-2,10.0
org.apache.dubbo.rpc.Invoker<org.apache.dubbo.rpc.support.DemoService>::1,dubbo-rpc/dubbo-rpc-api/src/test/java/org/apache/dubbo/rpc/protocol/dubbo/FutureFilterTest.java,testSyncCallback,2,1,-1,50.0
org.apache.dubbo.rpc.Invoker<org.apache.dubbo.rpc.support.DemoService>::1,dubbo-rpc/dubbo-rpc-api/src/test/java/org/apache/dubbo/rpc/protocol/dubbo/FutureFilterTest.java,testSyncCallbackHasException,3,1,-2,66.7
org.apache.dubbo.rpc.Invoker<org.apache.dubbo.rpc.support.DemoService>::2,dubbo-rpc/dubbo-rpc-api/src/test/java/org/apache/dubbo/rpc/filter/ContextFilterTest.java,testSetContext,3,2,-1,33.3
org.apache.dubbo.rpc.Invoker<org.apache.dubbo.rpc.support.DemoService>::2,dubbo-rpc/dubbo-rpc-api/src/test/java/org/apache/dubbo/rpc/filter/ExceptionFilterTest.java,testRpcException,5,4,-1,20.0
