mciId,classification,repairRounds,goalAchieved,mutationRegressed,aiAuditRisk,diffFile,totalSeconds,generationSeconds,totalTokens,cacheHit
java.net.Socket::1,FAILED_SYNTACTIC_VALIDITY,1,True,False,SKIPPED,diffs/java.net.Socket__1.diff,67.32,55.41,33614,False
java.net.Socket::2,SUCCESS,1,True,False,LOW,diffs/java.net.Socket__2.diff,82.79,41.15,42626,False
java.net.Socket::3,SUCCESS,0,True,False,LOW,diffs/java.net.Socket__3.diff,29.96,6.37,31237,False
XMPPTCPConnection::1,SUCCESS,0,True,False,LOW,diffs/XMPPTCPConnection__1.diff,49.24,21.69,14850,False
Message::1,FAILED_SYNTACTIC_VALIDITY,1,True,False,SKIPPED,diffs/Message__1.diff,52.0,33.19,41844,False
MessageHandler::1,SUCCESS,0,True,False,LOW,diffs/MessageHandler__1.diff,48.45,9.0,30577,False
"BoundValueOperations<Object,Object>::1",ENVIRONMENT_NOT_READY,0,,,,,,,0,False
IMAPFolder::1,FAILED_SYNTACTIC_VALIDITY,1,True,False,SKIPPED,diffs/IMAPFolder__1.diff,59.31,44.61,36137,False
ChannelInterceptor::1,SUCCESS,0,True,False,LOW,diffs/ChannelInterceptor__1.diff,21.89,5.9,13137,False
org.springframework.integration.ip.tcp.connection.TcpSocketSupport::1,SUCCESS,0,True,False,LOW,diffs/org.springframework.integration.ip.tcp.connection.TcpSocketSupport__1.diff,22.29,7.08,13976,False
org.springframework.integration.ip.tcp.connection.TcpSocketSupport::2,SUCCESS,0,True,False,LOW,diffs/org.springframework.integration.ip.tcp.connection.TcpSocketSupport__2.diff,32.04,12.29,23943,False
XMPPConnection::1,SUCCESS,0,True,False,LOW,diffs/XMPPConnection__1.diff,42.87,12.75,15002,False
XMPPConnection::2,SUCCESS,0,True,False,LOW,diffs/XMPPConnection__2.diff,35.56,11.55,15354,False
XMPPConnection::3,SUCCESS,0,True,False,LOW,diffs/XMPPConnection__3.diff,44.07,16.57,28855,False
XMPPConnection::4,SUCCESS,0,True,False,HIGH,diffs/XMPPConnection__4.diff,37.34,13.54,12887,False
Folder::1,FAILED_SYNTACTIC_VALIDITY,1,True,False,SKIPPED,diffs/Folder__1.diff,130.27,117.01,57188,False
Folder::2,SUCCESS,1,True,False,LOW,diffs/Folder__2.diff,112.8,69.65,49424,False
Folder::3,SUCCESS,0,True,False,LOW,diffs/Folder__3.diff,44.03,23.64,34437,False
SmartLifecycle::1,SUCCESS,0,True,False,LOW,diffs/SmartLifecycle__1.diff,37.07,12.51,18083,False
DestinationProvider::1,SUCCESS,0,True,False,LOW,diffs/DestinationProvider__1.diff,21.28,6.84,14143,False
SoapMessage::1,SUCCESS,0,True,False,LOW,diffs/SoapMessage__1.diff,40.03,14.88,17941,False
ConnectionFactory::1,SUCCESS,0,True,False,LOW,diffs/ConnectionFactory__1.diff,38.76,8.46,17092,False
ConnectionFactory::2,FAILED_SYNTACTIC_VALIDITY,1,True,False,SKIPPED,diffs/ConnectionFactory__2.diff,49.95,35.53,25202,False
ConnectionFactory::3,SUCCESS,0,True,False,LOW,diffs/ConnectionFactory__3.diff,104.98,88.71,86442,False
ConnectionFactory::4,SUCCESS,0,True,False,LOW,diffs/ConnectionFactory__4.diff,22.82,5.32,30347,False
ConnectionFactory::5,SUCCESS,0,True,False,LOW,diffs/ConnectionFactory__5.diff,57.46,31.65,21921,False
FaultMessageResolver::1,SUCCESS,0,True,False,LOW,diffs/FaultMessageResolver__1.diff,21.04,5.53,14513,False
org.springframework.amqp.core.Message::1,FAILED_SYNTACTIC_VALIDITY,1,True,False,SKIPPED,diffs/org.springframework.amqp.core.Message__1.diff,75.11,54.74,35496,False
javax.sql.DataSource::1,SUCCESS,0,True,False,HIGH,diffs/javax.sql.DataSource__1.diff,34.28,6.72,24428,False
MessageContext::1,FAILED_SYNTACTIC_VALIDITY,1,True,False,SKIPPED,diffs/MessageContext__1.diff,64.96,41.16,17056,False
org.springframework.integration.file.remote.session.SessionFactory<org.springframework.integration.file.remote.gateway.RemoteFileOutboundGatewayTests.TestLsEntry>::1,SUCCESS,0,True,False,LOW,diffs/org.springframework.integration.file.remote.session.SessionFactory_org.springframework.integration.f-417ed8c09379.diff,83.82,65.38,71130,False
Marshaller::1,SUCCESS,0,True,False,LOW,diffs/Marshaller__1.diff,27.36,11.89,15810,False
Connection::1,SUCCESS,0,True,False,LOW,diffs/Connection__1.diff,74.9,59.05,30156,False
Connection::2,FAILED_BEHAVIORAL_EQUIVALENCE,1,True,False,SKIPPED,diffs/Connection__2.diff,35.31,15.69,11847,False
Connection::3,FAILED_SYNTACTIC_VALIDITY,1,True,False,SKIPPED,diffs/Connection__3.diff,58.82,45.08,28998,False
Connection::4,SUCCESS,0,True,False,LOW,diffs/Connection__4.diff,64.29,44.94,66192,False
