mciId,classification,repairRounds,goalAchieved,mutationRegressed,aiAuditRisk,diffFile,totalSeconds,generationSeconds,totalTokens,cacheHit
org.apache.cloudstack.backup.BackupOffering::1,FAILED_BEHAVIORAL_EQUIVALENCE,2,True,False,SKIPPED,diffs/org.apache.cloudstack.backup.BackupOffering__1.diff,413.11,21.27,65213,False
com.cloud.cluster.ManagementServerHostVO::7,ENVIRONMENT_NOT_READY,0,,,,,,,0,False
com.cloud.cluster.ManagementServerHostVO::6,ENVIRONMENT_NOT_READY,0,,,,,,,0,False
com.cloud.cluster.ManagementServerHostVO::5,FAILED_BEHAVIORAL_EQUIVALENCE,2,True,False,SKIPPED,diffs/com.cloud.cluster.ManagementServerHostVO__5.diff,293.3,7.88,30592,False
com.cloud.cluster.ManagementServerHostVO::4,FAILED_BEHAVIORAL_EQUIVALENCE,1,True,False,SKIPPED,diffs/com.cloud.cluster.ManagementServerHostVO__4.diff,96.78,7.9,30822,False
com.cloud.cluster.ManagementServerHostVO::3,FAILED_BEHAVIORAL_EQUIVALENCE,2,True,False,SKIPPED,diffs/com.cloud.cluster.ManagementServerHostVO__3.diff,367.22,105.13,100751,False
com.cloud.cluster.ManagementServerHostVO::2,FAILED_BEHAVIORAL_EQUIVALENCE,2,True,False,SKIPPED,diffs/com.cloud.cluster.ManagementServerHostVO__2.diff,236.23,12.42,60265,False
com.cloud.cluster.ManagementServerHostVO::1,FAILED_BEHAVIORAL_EQUIVALENCE,1,True,False,SKIPPED,diffs/com.cloud.cluster.ManagementServerHostVO__1.diff,149.06,74.07,84399,False
org.apache.cloudstack.mom.webhook.api.command.user.DeleteWebhookCmd::1,ENVIRONMENT_NOT_READY,0,,,,,,,0,False
org.apache.cloudstack.framework.config.impl.ConfigDepotImpl::1,FAILED_BEHAVIORAL_EQUIVALENCE,2,True,False,SKIPPED,diffs/org.apache.cloudstack.framework.config.impl.ConfigDepotImpl__1.diff,270.54,24.36,34631,False
org.apache.cloudstack.kms.KMSWrappedKeyVO::1,FAILED_BEHAVIORAL_EQUIVALENCE,2,True,False,SKIPPED,diffs/org.apache.cloudstack.kms.KMSWrappedKeyVO__1.diff,264.7,29.53,36983,False
com.cloud.agent.api.to.RemoteInstanceTO::1,FAILED_BEHAVIORAL_EQUIVALENCE,2,True,False,SKIPPED,diffs/com.cloud.agent.api.to.RemoteInstanceTO__1.diff,367.79,62.35,42707,False
com.cloud.dc.DataCenterGuestIpv6PrefixVO::1,FAILED_BEHAVIORAL_EQUIVALENCE,2,True,False,SKIPPED,diffs/com.cloud.dc.DataCenterGuestIpv6PrefixVO__1.diff,259.1,36.14,71145,False
com.cloud.storage.VMTemplateStoragePoolVO::1,FAILED_BEHAVIORAL_EQUIVALENCE,2,True,False,SKIPPED,diffs/com.cloud.storage.VMTemplateStoragePoolVO__1.diff,295.57,58.5,57260,False
com.cloud.network.bigswitch.NetworkData::1,SUCCESS,0,True,False,LOW,diffs/com.cloud.network.bigswitch.NetworkData__1.diff,33.78,29.12,33617,False
org.apache.cloudstack.api.response.UserVmResponse::1,SUCCESS,0,True,False,LOW,diffs/org.apache.cloudstack.api.response.UserVmResponse__1.diff,150.42,99.31,77925,False
org.apache.cloudstack.api.command.admin.gpu.CreateVgpuProfileCmd::1,FAILED_BEHAVIORAL_EQUIVALENCE,2,True,False,SKIPPED,diffs/org.apache.cloudstack.api.command.admin.gpu.CreateVgpuProfileCmd__1.diff,287.8,39.51,51289,False
org.apache.cloudstack.region.Region::1,SUCCESS,0,True,False,LOW,diffs/org.apache.cloudstack.region.Region__1.diff,51.99,7.21,19675,False
com.cloud.network.dao.NetworkVO::36,SUCCESS,0,True,False,LOW,diffs/com.cloud.network.dao.NetworkVO__36.diff,44.49,39.95,42233,False
com.cloud.network.dao.NetworkVO::35,ENVIRONMENT_NOT_READY,0,,,,,,,0,False
com.cloud.network.dao.NetworkVO::34,ENVIRONMENT_NOT_READY,0,,,,,,,0,False
com.cloud.network.dao.NetworkVO::33,SUCCESS,0,True,False,LOW,diffs/com.cloud.network.dao.NetworkVO__33.diff,32.36,28.54,54368,False
com.cloud.network.dao.NetworkVO::32,FAILED_BEHAVIORAL_EQUIVALENCE,2,True,False,SKIPPED,diffs/com.cloud.network.dao.NetworkVO__32.diff,229.46,12.92,33921,False
com.cloud.network.dao.NetworkVO::31,FAILED_BEHAVIORAL_EQUIVALENCE,2,True,False,SKIPPED,diffs/com.cloud.network.dao.NetworkVO__31.diff,221.67,26.06,67699,False
com.cloud.network.dao.NetworkVO::30,FAILED_BEHAVIORAL_EQUIVALENCE,1,True,False,SKIPPED,diffs/com.cloud.network.dao.NetworkVO__30.diff,114.42,29.92,23129,False
com.cloud.network.dao.NetworkVO::29,FAILED_BEHAVIORAL_EQUIVALENCE,2,True,False,SKIPPED,diffs/com.cloud.network.dao.NetworkVO__29.diff,152.13,11.82,39598,False
com.cloud.network.dao.NetworkVO::28,FAILED_BEHAVIORAL_EQUIVALENCE,2,True,False,SKIPPED,diffs/com.cloud.network.dao.NetworkVO__28.diff,229.24,27.56,48518,False
com.cloud.network.dao.NetworkVO::27,FAILED_BEHAVIORAL_EQUIVALENCE,2,True,False,SKIPPED,diffs/com.cloud.network.dao.NetworkVO__27.diff,278.14,44.82,43879,False
com.cloud.network.dao.NetworkVO::26,FAILED_BEHAVIORAL_EQUIVALENCE,2,True,False,SKIPPED,diffs/com.cloud.network.dao.NetworkVO__26.diff,345.12,108.71,72441,False
com.cloud.network.dao.NetworkVO::25,FAILED_BEHAVIORAL_EQUIVALENCE,2,True,False,SKIPPED,diffs/com.cloud.network.dao.NetworkVO__25.diff,212.81,6.32,27011,False
com.cloud.network.NetworkModel::1,FAILED_BEHAVIORAL_EQUIVALENCE,1,True,False,SKIPPED,diffs/com.cloud.network.NetworkModel__1.diff,205.81,67.23,47243,False
com.cloud.network.NetworkModel::2,ENVIRONMENT_NOT_READY,0,,,,,,,0,False
com.cloud.network.NetworkModel::3,SUCCESS,1,True,False,LOW,diffs/com.cloud.network.NetworkModel__3.diff,750.63,332.96,196902,False
com.cloud.network.NetworkModel::4,FAILED_BEHAVIORAL_EQUIVALENCE,1,True,False,SKIPPED,diffs/com.cloud.network.NetworkModel__4.diff,273.02,64.92,30873,False
com.cloud.network.NetworkModel::5,SUCCESS,0,True,False,HIGH,diffs/com.cloud.network.NetworkModel__5.diff,371.43,42.63,33748,False
com.cloud.host.dao.HostDao::1,FAILED_SYNTACTIC_VALIDITY,1,True,False,SKIPPED,diffs/com.cloud.host.dao.HostDao__1.diff,295.76,65.44,30050,False
com.cloud.host.dao.HostDao::2,FAILED_BEHAVIORAL_EQUIVALENCE,1,True,False,SKIPPED,diffs/com.cloud.host.dao.HostDao__2.diff,422.39,264.55,96058,False
com.cloud.host.dao.HostDao::3,FAILED_BEHAVIORAL_EQUIVALENCE,1,True,False,SKIPPED,diffs/com.cloud.host.dao.HostDao__3.diff,495.41,176.59,85302,False
com.cloud.host.dao.HostDao::5,SUCCESS,1,True,False,LOW,diffs/com.cloud.host.dao.HostDao__5.diff,517.25,122.05,103041,False
PolicyEntriesType::1,SUCCESS,0,True,False,LOW,diffs/PolicyEntriesType__1.diff,339.11,81.13,80540,False
com.cloud.network.dao.NetworkVO::24,FAILED_BEHAVIORAL_EQUIVALENCE,1,True,False,SKIPPED,diffs/com.cloud.network.dao.NetworkVO__24.diff,90.02,7.55,18605,False
com.cloud.network.dao.NetworkVO::23,FAILED_BEHAVIORAL_EQUIVALENCE,2,True,False,SKIPPED,diffs/com.cloud.network.dao.NetworkVO__23.diff,291.2,46.98,63386,False
com.cloud.network.dao.NetworkVO::22,FAILED_BEHAVIORAL_EQUIVALENCE,1,True,False,SKIPPED,diffs/com.cloud.network.dao.NetworkVO__22.diff,147.16,75.27,47535,False
com.cloud.network.dao.NetworkVO::21,ENVIRONMENT_NOT_READY,0,,,,,,,0,False
com.cloud.network.dao.NetworkVO::20,ENVIRONMENT_NOT_READY,0,,,,,,,0,False
com.cloud.network.dao.NetworkVO::19,FAILED_SYNTACTIC_VALIDITY,2,True,False,SKIPPED,diffs/com.cloud.network.dao.NetworkVO__19.diff,174.52,18.67,25443,False
com.cloud.network.dao.NetworkVO::18,FAILED_BEHAVIORAL_EQUIVALENCE,2,True,False,SKIPPED,diffs/com.cloud.network.dao.NetworkVO__18.diff,240.18,6.12,34060,False
com.cloud.network.dao.NetworkVO::17,FAILED_SYNTACTIC_VALIDITY,2,True,False,SKIPPED,diffs/com.cloud.network.dao.NetworkVO__17.diff,247.5,8.25,35620,False
com.cloud.network.dao.NetworkVO::16,FAILED_BEHAVIORAL_EQUIVALENCE,1,True,False,SKIPPED,diffs/com.cloud.network.dao.NetworkVO__16.diff,93.23,10.58,78507,False
com.cloud.network.dao.NetworkVO::15,SUCCESS,0,True,False,LOW,diffs/com.cloud.network.dao.NetworkVO__15.diff,21.39,16.08,110615,False
PrepareExtensionPathCommand::1,SUCCESS,0,True,False,LOW,diffs/PrepareExtensionPathCommand__1.diff,182.39,24.55,70189,False
com.cloud.utils.db.SearchCriteria<com.cloud.user.UserDataVO>::1,SUCCESS,0,True,False,LOW,diffs/com.cloud.utils.db.SearchCriteria_com.cloud.user.UserDataVO___1.diff,167.43,10.12,58903,False
org.apache.cloudstack.api.command.user.dns.DeleteDnsRecordCmd::1,SUCCESS,1,True,False,LOW,diffs/org.apache.cloudstack.api.command.user.dns.DeleteDnsRecordCmd__1.diff,301.29,35.3,85723,False
org.apache.cloudstack.api.command.user.backup.CreateBackupOfferingCmd::1,SUCCESS,0,True,False,HIGH,diffs/org.apache.cloudstack.api.command.user.backup.CreateBackupOfferingCmd__1.diff,255.87,78.78,107648,False
com.cloud.storage.StoragePoolTagVO::1,SUCCESS,0,True,False,LOW,diffs/com.cloud.storage.StoragePoolTagVO__1.diff,201.7,25.63,52322,False
org.apache.cloudstack.framework.jobs.AsyncJobExecutionContext::1,SUCCESS,0,True,False,LOW,diffs/org.apache.cloudstack.framework.jobs.AsyncJobExecutionContext__1.diff,221.12,5.52,58587,False
com.cloud.network.rules.PortForwardingRule::1,SUCCESS,0,True,False,LOW,diffs/com.cloud.network.rules.PortForwardingRule__1.diff,229.99,44.91,57173,False
com.cloud.network.rules.PortForwardingRule::2,SUCCESS,0,True,False,LOW,diffs/com.cloud.network.rules.PortForwardingRule__2.diff,149.22,6.06,19599,False
com.cloud.dc.ASNumberVO::1,SUCCESS,0,True,False,LOW,diffs/com.cloud.dc.ASNumberVO__1.diff,162.91,8.71,25141,False
com.cloud.vm.ReservationContext::1,ENVIRONMENT_NOT_READY,0,,,,,,,0,False
com.cloud.network.dao.NetworkVO::14,FAILED_BEHAVIORAL_EQUIVALENCE,2,True,False,SKIPPED,diffs/com.cloud.network.dao.NetworkVO__14.diff,235.96,34.2,39126,False
com.cloud.network.dao.NetworkVO::13,FAILED_BEHAVIORAL_EQUIVALENCE,2,True,False,SKIPPED,diffs/com.cloud.network.dao.NetworkVO__13.diff,286.48,78.59,52136,False
com.cloud.network.dao.NetworkVO::12,FAILED_BEHAVIORAL_EQUIVALENCE,2,True,False,SKIPPED,diffs/com.cloud.network.dao.NetworkVO__12.diff,221.08,7.78,37153,False
com.cloud.network.dao.NetworkVO::11,SUCCESS,0,True,False,LOW,diffs/com.cloud.network.dao.NetworkVO__11.diff,48.14,44.66,58946,False
com.cloud.network.dao.NetworkVO::10,FAILED_BEHAVIORAL_EQUIVALENCE,2,True,False,SKIPPED,diffs/com.cloud.network.dao.NetworkVO__10.diff,224.29,41.69,27141,False
com.cloud.network.dao.NetworkVO::9,SUCCESS,0,True,False,LOW,diffs/com.cloud.network.dao.NetworkVO__9.diff,36.23,32.09,40052,False
com.cloud.network.dao.NetworkVO::8,FAILED_SYNTACTIC_VALIDITY,1,True,False,SKIPPED,diffs/com.cloud.network.dao.NetworkVO__8.diff,157.89,91.4,45896,False
com.cloud.network.dao.NetworkVO::7,FAILED_BEHAVIORAL_EQUIVALENCE,2,True,False,SKIPPED,diffs/com.cloud.network.dao.NetworkVO__7.diff,168.52,24.94,39424,False
com.cloud.network.dao.NetworkVO::6,SUCCESS,0,True,False,LOW,diffs/com.cloud.network.dao.NetworkVO__6.diff,39.52,35.62,35130,False
com.cloud.network.dao.NetworkVO::5,SUCCESS,0,True,False,LOW,diffs/com.cloud.network.dao.NetworkVO__5.diff,149.29,57.68,39494,False
com.cloud.network.dao.NetworkVO::4,SUCCESS,0,True,False,HIGH,diffs/com.cloud.network.dao.NetworkVO__4.diff,164.25,69.6,50430,False
com.cloud.network.dao.NetworkVO::3,SUCCESS,0,True,False,LOW,diffs/com.cloud.network.dao.NetworkVO__3.diff,133.16,27.03,42110,False
com.cloud.network.dao.NetworkVO::1,SUCCESS,0,True,False,LOW,diffs/com.cloud.network.dao.NetworkVO__1.diff,270.63,137.88,106948,False
org.apache.cloudstack.api.command.user.vm.RestoreVMCmd::1,SUCCESS,0,True,False,LOW,diffs/org.apache.cloudstack.api.command.user.vm.RestoreVMCmd__1.diff,132.04,29.64,103930,False
org.apache.cloudstack.api.command.admin.gpu.CreateGpuCardCmd::1,SUCCESS,0,True,False,LOW,diffs/org.apache.cloudstack.api.command.admin.gpu.CreateGpuCardCmd__1.diff,272.99,44.44,63805,False
VirtualMachineConfigSpec::1,ENVIRONMENT_NOT_READY,0,,,,,,,0,False
org.apache.cloudstack.framework.messagebus.MessageBus::1,SUCCESS,0,True,False,LOW,diffs/org.apache.cloudstack.framework.messagebus.MessageBus__1.diff,233.35,6.49,24627,False
com.cloud.utils.db.SearchCriteria<org.apache.cloudstack.backup.BackupScheduleVO>::1,SUCCESS,0,True,False,LOW,diffs/com.cloud.utils.db.SearchCriteria_org.apache.cloudstack.backup.BackupScheduleVO___1.diff,101.11,11.45,62550,False
LbPools::2,ENVIRONMENT_NOT_READY,0,,,,,,,0,False
com.cloud.vm.ReservationContext::2,SUCCESS,0,True,False,LOW,diffs/com.cloud.vm.ReservationContext__2.diff,150.4,46.77,81331,False
com.cloud.vm.ReservationContext::3,SUCCESS,0,True,False,LOW,diffs/com.cloud.vm.ReservationContext__3.diff,188.23,9.29,21108,False
com.cloud.vm.ReservationContext::4,SUCCESS,0,True,False,LOW,diffs/com.cloud.vm.ReservationContext__4.diff,204.34,7.65,38854,False
com.cloud.vm.ReservationContext::5,FAILED_SYNTACTIC_VALIDITY,1,True,False,SKIPPED,diffs/com.cloud.vm.ReservationContext__5.diff,288.1,233.6,88810,False
com.cloud.vm.ReservationContext::6,SUCCESS,0,True,False,LOW,diffs/com.cloud.vm.ReservationContext__6.diff,202.18,16.0,37342,False
com.cloud.vm.ReservationContext::7,SUCCESS,0,True,False,LOW,diffs/com.cloud.vm.ReservationContext__7.diff,103.84,7.54,51538,False
com.cloud.vm.ReservationContext::8,SUCCESS,0,True,False,LOW,diffs/com.cloud.vm.ReservationContext__8.diff,113.66,5.99,35553,False
org.apache.cloudstack.framework.extensions.api.UnregisterExtensionCmd::1,SUCCESS,0,True,False,LOW,diffs/org.apache.cloudstack.framework.extensions.api.UnregisterExtensionCmd__1.diff,86.29,19.93,73733,False
com.cloud.storage.GuestOSCategoryVO::1,SUCCESS,0,True,False,LOW,diffs/com.cloud.storage.GuestOSCategoryVO__1.diff,98.65,13.22,64235,False
org.apache.cloudstack.storage.volume.VolumeObject::1,SUCCESS,0,True,False,LOW,diffs/org.apache.cloudstack.storage.volume.VolumeObject__1.diff,300.47,47.77,44865,False
org.apache.cloudstack.storage.volume.VolumeObject::2,SUCCESS,0,True,False,LOW,diffs/org.apache.cloudstack.storage.volume.VolumeObject__2.diff,228.46,39.09,41643,False
org.apache.cloudstack.framework.config.ConfigKey<java.lang.Boolean>::1,SUCCESS,0,True,False,LOW,diffs/org.apache.cloudstack.framework.config.ConfigKey_java.lang.Boolean___1.diff,175.76,32.7,38290,False
